id, latitude, longitude, healthy
A2-17,36.027122,140.095923,0
A2-20,36.026985,140.096118,0
A3-3,36.027342,140.095469,0
A3-4,36.027296,140.095534,0
A3-6,36.027201,140.095669,0
A3-7,36.027158,140.095733,0
A3-23,36.026406,140.096815,0
A4-1,36.026818,140.096361,0
A4-7,36.026544,140.096756,0
A4-9,36.02645,140.096892,0
A4-10,36.02641,140.096948,0
A4-11,36.026377,140.097,0
A4-13,36.026261,140.097163,0
A4-18,36.025981,140.097566,0
A5-8,36.025952,140.097476,0
A5-11,36.025795,140.097693,0
A5-12,36.025767,140.097739,0
A5-13,36.025704,140.097827,0
A5-16,36.025562,140.098032,0
A6-4,36.026015,140.098114,0
A7-1,36.025487,140.098025,0
A9-2,36.025564,140.098168,0
A9-8,36.025282,140.098576,0
A9-12,36.025094,140.098845,0
A10-13,36.024879,140.099018,0
A11-2,36.024552,140.09949,0
A11-13,36.024024,140.100251,0
A14-5,36.023344,140.101368,0
A14-10,36.02311,140.101706,0
A15-4,36.022844,140.101948,0
A15-5,36.022799,140.102014,0
