id, latitude, longitude, healthy
"A1-1", 36.027936, 140.094621, 1
"A1-2", 36.027901, 140.094670, 1
"A1-3", 36.027863, 140.094734, 1
"A1-4", 36.027819, 140.094790, 1
"A1-5", 36.027774, 140.094855, 1
"A1-6", 36.027725, 140.094922, 1
"A1-7", 36.027674, 140.094991, 1
"A1-8", 36.027636, 140.095062, 1
"A2-1", 36.027953, 140.094725, 1
"A2-2", 36.027916, 140.094786, 1
"A2-3", 36.027881, 140.094843, 1
"A2-4", 36.027838, 140.094900, 1
"A2-5", 36.027790, 140.094967, 1
"A2-6", 36.027743, 140.095034, 1
"A2-7", 36.027654, 140.095172, 1
"A2-8", 36.027605, 140.095240, 1
"A2-9", 36.027516, 140.095376, 1
"A2-10", 36.027462, 140.095448, 1
"A2-11", 36.027417, 140.095511, 1
"A2-12", 36.027372, 140.095579, 1
"A2-13", 36.027322, 140.095646, 1
"A2-14", 36.027277, 140.095710, 1
"A2-15", 36.027229, 140.095782, 1
"A2-16", 36.027186, 140.095848, 1
"A2-17", 36.027122, 140.095923, 0
"A2-18", 36.027089, 140.095991, 1
"A2-19", 36.027041, 140.096050, 1
"A2-20", 36.026985, 140.096118, 0
"A3-1", 36.027443, 140.095332, 1
"A3-2", 36.027395, 140.095398, 1
"A3-3", 36.027342, 140.095469, 0
"A3-4", 36.027296, 140.095534, 0
"A3-5", 36.027256, 140.095601, 1
"A3-6", 36.027201, 140.095669, 0
"A3-7", 36.027158, 140.095733, 0
"A3-8", 36.027116, 140.095802, 1
"A3-9", 36.027068, 140.095872, 1
"A3-10", 36.027023, 140.095933, 1
"A3-11", 36.026979, 140.096000, 1
"A3-12", 36.026934, 140.096077, 1
"A3-13", 36.026874, 140.096157, 1
"A3-14", 36.026825, 140.096221, 1
"A3-15", 36.026774, 140.096298, 1
"A3-16", 36.026733, 140.096355, 1
"A3-17", 36.026694, 140.096410, 1
"A3-18", 36.026651, 140.096477, 1
"A3-19", 36.026605, 140.096548, 1
"A3-20", 36.026559, 140.096610, 1
"A3-21", 36.026501, 140.096683, 1
"A3-22", 36.026458, 140.096750, 1
"A3-23", 36.026406, 140.096815, 0
"A3-24", 36.026366, 140.096881, 1
"A4-1", 36.026818, 140.096361, 0
"A4-2", 36.026784, 140.096425, 1
"A4-3", 36.026742, 140.096486, 1
"A4-4", 36.026699, 140.096553, 1
"A4-5", 36.026649, 140.096622, 1
"A4-6", 36.026600, 140.096687, 1
"A4-7", 36.026544, 140.096756, 0
"A4-8", 36.026500, 140.096824, 1
"A4-9", 36.026450, 140.096892, 0
"A4-10", 36.026410, 140.096948, 0
"A4-11", 36.026377, 140.097000, 0
"A4-12", 36.026311, 140.097100, 1
"A4-13", 36.026261, 140.097163, 0
"A4-14", 36.026227, 140.097228, 1
"A4-15", 36.026139, 140.097364, 1
"A4-16", 36.026086, 140.097431, 1
"A4-17", 36.026045, 140.097489, 1
"A4-18", 36.025981, 140.097566, 0
"A4-19", 36.025899, 140.097700, 1
"A4-20", 36.025849, 140.097768, 1
"A5-1", 36.026267, 140.097027, 1
"A5-2", 36.026222, 140.097092, 1
"A5-3", 36.026183, 140.097147, 1
"A5-4", 36.026132, 140.097220, 1
"A5-5", 36.026089, 140.097282, 1
"A5-6", 36.026038, 140.097357, 1
"A5-7", 36.025992, 140.097423, 1
"A5-8", 36.025952, 140.097476, 0
"A5-9", 36.025918, 140.097533, 1
"A5-10", 36.025865, 140.097599, 1
"A5-11", 36.025795, 140.097693, 0
